Step, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34
Lengths, 0.900000, 0.900000, 1.000000, 1.000000, 1.000000, 1.200000, 0.900000, 1.150000, 1.100000, 1.100000, 0.900000, 0.900000, 1.000000, 0.600000, 0.600000, 1.400000, 1.000000, 0.900000, 0.900000, 0.950000, 1.000000, 0.900000, 0.900000, 0.900000, 1.000000, 1.400000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000, 1.200000
Difficulties (6044), 2, 2, 2, 2, 2, 2, 2, 2, 0, 0, 2, 2, 2, 1, 1, 2, 2, 2, 2, 2, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2
dps, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
p, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
v, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
acs, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
dt1s, 2.700000, 1.800000, 3.000000, 3.000000, 2.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
dt2s, 0.000000, 0.000000, 0.000000, 0.000000, 100.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
dts, 2.700000, 1.800000, 3.000000, 3.000000, 102.000000, 3.600000, 2.700000, 3.450000, 3.300000, 3.300000, 2.700000, 2.700000, 3.000000, 1.800000, 1.800000, 4.200000, 3.000000, 2.700000, 2.700000, 2.850000, 3.000000, 2.700000, 1.800000, 2.700000, 3.000000, 4.200000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000, 3.600000
ts, 0.000000, 2.700000, 4.500000, 7.500000, 10.500000, 112.500000, 116.100000, 118.800000, 122.250000, 125.550000, 128.850000, 131.550000, 134.250000, 137.250000, 139.050000, 140.850000, 145.050000, 148.050000, 150.750000, 153.450000, 156.300000, 159.300000, 162.000000, 163.800000, 166.500000, 169.500000, 173.700000, 177.300000, 180.900000, 184.500000, 188.100000, 191.700000, 195.300000, 198.900000, 202.500000, 206.100000
ms, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0
os, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1
rs, -2.700000, -1.800000, -3.000000, -3.000000, -102.000000, -3.600000, -2.700000, -3.450000, -3.300000, -3.300000, -2.700000, -2.700000, -3.000000, -1.800000, -1.800000, -4.200000, -3.000000, -2.700000, -2.700000, -2.850000, -3.000000, -2.700000, -1.800000, -2.700000, -3.000000, -4.200000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000, -3.600000
r_cums, 0.000000, -2.700000, -4.500000, -7.500000, -10.500000, -112.500000, -116.100000, -118.800000, -122.250000, -125.550000, -128.850000, -131.550000, -134.250000, -137.250000, -139.050000, -140.850000, -145.050000, -148.050000, -150.750000, -153.450000, -156.300000, -159.300000, -162.000000, -163.800000, -166.500000, -169.500000, -173.700000, -177.300000, -180.900000, -184.500000, -188.100000, -191.700000, -195.300000, -198.900000, -202.500000, -206.100000
dist_state_bel, 7.339630, 7.312734, 7.280716, 6.899592, 6.863734, 6.821742, 6.790470, 6.353074, 6.212448, 6.237728, 5.666989, 5.630089, 5.600588, 5.574188, 5.578052, 5.595280, 5.554014, 5.520038, 5.498417, 5.110698, 5.079870, 5.005922, 5.007638, 5.054220, 5.047406, 4.627595, 4.801928, 4.777319, 4.774061, 4.740708, 4.723990, 4.601282, 4.552806, 4.536892, 4.496633

